,Project Reference,Academic Year,Mobility Start Month,Mobility End Month,Mobility Duration,Activity (mob),Field of Education,Participant Nationality,Education Level,Participant Gender,Participant Profile,Special Needs,Fewer Opportunities,GroupLeader,Participant Age,Sending Country Code,Sending City,Sending Organization,Sending Organisation Erasmus Code,Receiving Country Code,Receiving City,Receiving Organization,Receiving Organisation Erasmus Code,Participants
4446,2017-1-RO01-KA102-036700,2018-2019,2018-07,2018-07,19,VET learners traineeships in companies abroad,Computer use,RO,ISCED-3 - Upper secondary education,Male,Learner,No,No,No,16.0,RO,Bacau,Colegiul National Gheorghe Vranceanu,-,ES,Valencia,Droid House,-,1
4447,2017-1-SK01-KA103-034955,2018-2019,2018-06,2018-09,105,Student mobility for traineeships between Programme Countries,Social work and counselling,SK,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,Learner,No,No,No,29.0,SK,PRESOV,PRESOVSKA UNIVERZITA V PRESOVE,SK PRESOV01,CZ,Praha,Psychiatrická nemocnice Bohnice,-,1
4448,2015-1-ES01-KA103-013448,2015-2016,2015-08,2015-12,123,Student mobility for studies between Programme Countries,"Business and administration, not further defined",UA,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,Learner,No,No,No,21.0,ES,LEIOA,UNIVERSIDAD DEL PAIS VASCO/ EUSKAL HERRIKO UNIBERTSITATEA,E  BILBAO01,NO,KONGSBE,HOGSKOLEN I SOROST NORGE,N  KONGSBE02,1
4449,2016-1-DE01-KA103-002533,2016-2017,2016-08,2017-01,148,Student mobility for studies between Programme Countries,Mathematics,DE,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,Learner,No,No,No,22.0,DE,Augsburg,UNIVERSITAET AUGSBURG,D  AUGSBUR01,NL,Amsterdam,UNIVERSITEIT VAN AMSTERDAM,NL AMSTERD01,1
4450,2017-1-SE02-KA105-001775,2018-2019,2018-08,2018-08,6,Youth Exchanges - Programme Countries,? Unknown ?,HU,??? - ? Unknown ?,Female,Learner,No,No,Yes,38.0,HU,Somogyvámos,Öko-völgy Alapítvány az Alkalmazott Fenntarthatóságért,-,ES,Miengo,Asociación Nanda Gram,-,1
4451,2015-1-FI01-KA103-008676,2016-2017,2016-06,2016-09,90,Student mobility for traineeships between Programme Countries,"Business and administration, not further defined",VN,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,Learner,No,No,No,22.0,FI,HELSINKI,YRKESHOGSKOLAN ARCADA AB,SF HELSINK39,DK,Copengahen,ReputationCPH,-,1
4452,2015-1-FR01-KA102-014637,2016-2017,2016-06,2016-09,90,VET learners traineeships in companies abroad,Chemical engineering and processes,FR,??? - ? Unknown ?,Male,Learner,No,No,No,23.0,FR,Paris,INSTITUT EUROPEEN RECHERCHE ET FORMATION,-,NO,Stavanger,TOTAL Norge,-,1
4453,2015-1-EL01-KA103-013270,2016-2017,2016-01,2016-06,147,Student mobility for studies between Programme Countries,"Education, not further defined",EL,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,Learner,No,No,No,20.0,EL,Ριο-Πατρα,PANEPISTIMIO PATRON,G  PATRA01,ES,ALCALA,UNIVERSIDAD DE ALCALA,E  ALCAL-H01,1
4454,2018-1-RO01-KA103-047430,2018-2019,2018-08,2018-09,38,Student mobility for traineeships between Programme Countries,"Engineering and engineering trades, not further defined",RO,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,Learner,No,No,No,22.0,RO,Constanta,"Academia Navala ""Mircea cel Batran""",RO CONSTAN01,FR,Marseille,CMA CGM,-,1
4455,2015-1-UK01-KA105-012381,2015-2016,2015-11,2015-11,8,Mobility of youth workers - Partner Countries,? Unknown ?,BA,??? - ? Unknown ?,Male,Staff,No,No,No,27.0,BA,Visoko,"Udruzenje ""Mladi Volonteri""",-,AL,Tirana,Beyond Barriers,-,1
4456,2019-1-EL01-KA103-061963,2019-2020,2019-09,2019-11,60,Student mobility for traineeships between Programme Countries,Sociology and cultural studies,EL,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,Learner,No,No,No,31.0,EL,PATRAS,HELLENIC OPEN UNIVERSITY,G  PATRA05,PL,WARSAW,IDEAL PRODUCTION COMPANY,-,1
4457,2016-1-TR01-KA103-025335,2017-2018,2017-09,2018-02,133,Student mobility for studies between Programme Countries,Education science,TR,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,Learner,No,No,No,21.0,TR,ISTANBUL,ISTANBUL OKAN UNIVERSITESI,TR ISTANBU22,PL,WARSZAWA,UNIWERSYTET KARDYNALA STEFANA WYSZYNSKIEGO W WARSZAWIE,PL WARSZAW07,1
4458,2017-1-PL01-KA103-037592,2018-2019,2018-10,2018-10,4,Staff mobility for teaching between Programme Countries,Environmental protection technology,PL,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,Staff,No,No,No,21.0,PL,WROCLAW,POLITECHNIKA WROCLAWSKA,PL WROCLAW02,TR,Istanbul,Istanbul Üniversitesi,TR ISTANBU03,1
4459,2019-1-IT02-KA103-061487,2019-2020,2019-09,2020-05,270,Student mobility for studies between Programme Countries,Economics,IT,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,Learner,No,No,No,24.0,IT,MODENA,UNIVERSITA DEGLI STUDI DI MODENA E REGGIO EMILIA,I  MODENA01,ES,GETAFE (MADRID),UNIVERSIDAD CARLOS III DE MADRID,E  MADRID14,1
4460,2019-1-ES01-KA103-060044,2019-2020,2019-09,2020-08,360,Student mobility for studies between Programme Countries,"Motor vehicles, ships and aircraft",ES,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,Learner,No,No,No,23.0,ES,León,UNIVERSIDAD DE LEON,E  LEON01,DE,München,TECHNISCHE UNIVERSITAET MUENCHEN,D  MUNCHEN02,1
4461,2017-1-FI01-KA103-034469,2017-2018,2017-11,2017-11,5,Staff mobility for training between Programme Countries,? Unknown ?,FI,??? - ? Unknown ?,Female,Staff,No,No,No,23.0,FI,TURKU,TURUN AMMATTIKORKEAKOULU OY,SF TURKU05,UK,GLASGOW,UNIVERSITY OF STRATHCLYDE,UK GLASGOW02,1
4462,2017-1-NL02-KA105-001596,2017-2018,2017-09,2017-09,9,Youth Exchanges - Programme Countries,? Unknown ?,BG,??? - ? Unknown ?,Male,Learner,Yes,Yes,No,30.0,BG,Varna,Association FOR YOU,-,BG,Varna,Association FOR YOU,-,1
4463,2016-1-DE02-KA102-002690,2017-2018,2017-03,2017-03,5,Staff training abroad,Education science,DE,??? - ? Unknown ?,Female,Staff,No,No,No,53.0,DE,Chemnitz,Institut für lebenslanges Lernen der FORTIS-FAKULTAS GmbH,-,IT,Vicenza,Eurocultura srl,-,2
4464,2016-1-ES01-KA102-024430,2016-2017,2016-09,2016-09,6,Staff training abroad,Education,ES,??? - ? Unknown ?,Male,Staff,No,No,No,38.0,ES,SEVILLA,COLEGIO SALESIANO SAN PEDRO,E  SEVILLA37,IT,Torino,ASSOCIAZIONE CNOS-FAP REGIONE PIEMONTE,-,1
4465,2014-1-EE01-KA105-000184,2014-2015,2014-08,2014-08,2,Youth Exchanges - Programme Countries,? Unknown ?,PT,??? - ? Unknown ?,Male,Learner,No,No,Yes,38.0,PT,Our?m,INSIGNARE - Associacao de Ensino e Formacao,-,EE,Narva,S.E.L.F,-,1
4466,2017-1-EE01-KA116-034613,2019-2020,2019-03,2019-04,26,VET learners traineeships in companies abroad,Handicrafts,EE,ISCED-4 - Post-secondary non-tertiary education,Female,Learner,No,No,No,43.0,EE,Kuressaare,Kuressaare Ametikool,-,IT,Firenze,Qualitas Forum Srl,-,1
4467,2015-1-DE02-KA102-001706,2016-2017,2016-09,2016-10,26,VET learners traineeships in companies abroad,Secretarial and office work,DE,??? - ? Unknown ?,Female,Learner,No,No,No,17.0,DE,Stuttgart,BWHM GmbH - Beratungs- und Wirtschaftsförderungsgesellschaft für Handwerk und Mittelstand,-,UK,Birmingham,Iris Bertz LTD,-,1
4468,2017-3-ES02-KA105-010757,2018-2019,2018-03,2018-03,5,Mobility of youth workers - Partner Countries,? Unknown ?,ES,??? - ? Unknown ?,Male,Staff,No,No,Yes,22.0,ES,C�ceres,Asociación Juvenil Youth Europa Extremadura,-,ES,Mata de Alc�ntara,Asociación Juvenil Youth Europa Extremadura,-,2
4469,2017-1-IT02-KA103-035933,2018-2019,2018-03,2018-07,123,Student mobility for traineeships between Programme Countries,"Finance, banking and insurance",EL,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,Learner,No,No,No,21.0,IT,Roma,UNIVERSITA DEGLI STUDI DI ROMA TOR VERGATA,I  ROMA02,IE,Dublino,IBM,-,1
4470,2019-1-DE01-KA103-004524,2019-2020,2019-09,2020-01,135,Student mobility for studies between Programme Countries,Economics,DE,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Male,Learner,No,No,No,22.0,DE,München,LUDWIG-MAXIMILIANS-UNIVERSITAET MUENCHEN,D  MUNCHEN01,FR,Cachan,ECOLE NORMALE SUPERIEURE PARIS-SACLAY,-,1
4471,2015-1-UK01-KA103-012913,2016-2017,2016-03,2016-07,144,Student mobility for studies between Programme Countries,Political sciences and civics,UK,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,Learner,No,No,No,20.0,UK,LEEDS,LEEDS BECKETT UNIVERSITY,UK LEEDS02,DE,BAMBERG,OTTO-FRIEDRICH-UNIVERSITAET BAMBERG,D  BAMBERG01,1
4472,2018-1-SK01-KA102-045874,2018-2019,2018-11,2018-11,21,Mobility of VET learners (2 weeks up to 3 months),"Hotel, restaurants and catering",SK,ISCED-3 - Upper secondary education,Female,Learner,No,No,No,17.0,SK,Veľký Meder,"Obchodna akademia- Kereskedelmi Akadémia, Bratislavská 38, Velky Meder - Nagymegyer",-,AT,Wien,MEININGER City Hostels&Hostels GmbH,-,1
4473,2015-1-CY01-KA103-011760,2016-2017,2016-04,2016-04,3,Staff mobility for training between Programme Countries,? Unknown ?,CY,??? - ? Unknown ?,Female,Staff,No,No,No,17.0,CY,Nicosia,University of Nicosia,CY NICOSIA14,UK,CAMBRIDGE,"THE CHANCELLOR, MASTERS AND SCHOLARS OF THE UNIVERSITY OF CAMBRIDGE",UK CAMBRID01,1
4474,2017-1-RO01-KA103-036074,2018-2019,2018-02,2018-06,134,Student mobility for studies between Programme Countries,"Social and behavioural sciences, not further defined",RO,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,Learner,No,No,No,20.0,RO,BUCURESTI,UNIVERSITATEA DIN BUCURESTI,RO BUCURES09,CZ,PRAHA 1,UNIVERZITA KARLOVA V PRAZE,CZ PRAHA07,1
4475,2018-1-TR01-KA103-056169,2018-2019,2018-09,2019-02,172,Student mobility for studies between Programme Countries,"Engineering and engineering trades, not further defined",TR,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,Learner,No,No,No,22.0,TR,BURSA,BURSA ULUDAG UNIVERSITESI,TR BURSA01,DE,BIELEFELD,FACHHOCHSCHULE BIELEFELD,D  BIELEFE02,1
4476,2017-1-FR01-KA102-036127,2018-2019,2018-05,2018-05,8,Training/teaching assignments abroad,Education,FR,??? - ? Unknown ?,Female,Staff,No,No,No,51.0,FR,SAINT AFFRIQUE,CITE SCOLAIRE JAURES,-,DE,VLOTHO,KANNEGIESSER,-,1
4477,2018-3-IS01-KA105-051033,2019-2020,2019-05,2019-05,3,Mobility of youth workers - Programme Countries,? Unknown ?,IS,??? - ? Unknown ?,Female,Staff,No,No,No,39.0,IS,Kópavogur,Félagsmiðstöðvar FF,-,LV,RIGA,BALTIJAS REGIONALAIS FONDS,-,1
4478,2017-1-CZ01-KA103-034813,2017-2018,2017-09,2017-12,91,Student mobility for studies between Programme Countries,Sports,SK,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,Learner,No,No,No,22.0,CZ,BRNO STRED,Masarykova univerzita,CZ BRNO05,UK,Newport,UNIVERSITY OF SOUTH WALES PRIFYSGOLDE CYMRU,UK PONTYPR02,1
4479,2016-1-FR01-KA103-022567,2017-2018,2017-01,2017-06,151,Student mobility for traineeships between Programme Countries,"Engineering and engineering trades, not further defined",FR,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Male,Learner,No,No,No,22.0,FR,ECULLY,ECOLE CENTRALE DE LYON,F  LYON11,LU,Schifflangue,Costantini SA,-,1
4480,2018-1-ES01-KA101-049275,2019-2020,2019-05,2019-06,7,Structured Courses/Training Events,Education,ES,??? - ? Unknown ?,Female,Staff,No,No,No,37.0,ES,Pamplona,Fundación Educativa Jesuitinas,-,NL,Utrecht,Euneos Oy,-,1
4481,2015-1-FR01-KA102-014170,2016-2017,2016-09,2016-09,2,Staff training abroad,"Hotel, restaurants and catering",FR,??? - ? Unknown ?,Male,Staff,No,No,No,35.0,FR,La Roche sur Yon,Lycée Rosa PARKS,-,IT,La Spezia,Istituto Professionale Alberghiero di  Stato G. Casini,-,1
4482,2016-3-UK01-KA105-035257,2017-2018,2017-03,2017-04,8,Youth Exchanges - Programme Countries,? Unknown ?,LV,??? - ? Unknown ?,Female,Learner,No,No,No,21.0,LV,Ērgļi,Radosuma pils,-,UK,SHEFFIELD,Active Youngsters,-,1
4483,2017-1-HU01-KA102-035434,2017-2018,2017-08,2017-09,14,Staff training abroad,Building and civil engineering,HU,??? - ? Unknown ?,Male,Staff,No,No,No,38.0,HU,BUDAPEST,EPITESI VALLALKOZOK ORSZAGOS SZAKSZOVETSEGE,-,DE,MUNCHEN,HANDWERKSKAMMER FUR MUNCHEN UND OBERBAYERN,-,1
4484,2016-1-DE03-KA101-022693,2017-2018,2017-01,2017-02,12,Job Shadowing,Education,DE,??? - ? Unknown ?,Female,Staff,No,No,No,50.0,DE,Bonn,Helmholtz-Gymnasium Bonn,-,UK,"Bletchley, Milton Keynes",Lord Grey School,-,1
4485,2016-1-AT01-KA103-016534,2017-2018,2017-01,2017-06,151,Student mobility for studies between Programme Countries,Law,AT,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,Learner,No,No,No,28.0,AT,SALZBURG,PARIS-LODRON-UNIVERSITAT SALZBURG,A  SALZBUR01,MT,MSIDA,UNIVERSITA TA MALTA,MT MALTA01,1
4486,2019-2-DE04-KA105-018222,2019-2020,2019-11,2019-11,6,Mobility of youth workers - Programme Countries,? Unknown ?,LV,??? - ? Unknown ?,Female,Staff,No,Yes,No,27.0,LV,Riga,Latvijas jauniesu attistibas centrs,-,DE,Berlin,Copernicus Berlin e.V.,-,1
4487,2017-2-EL02-KA105-003259,2017-2018,2017-09,2017-09,8,Mobility of youth workers - Programme Countries,? Unknown ?,DE,??? - ? Unknown ?,Female,Staff,No,No,No,47.0,DE,EMMENDINGEN,FORSCHUNGSGESELLSCHAFT DIE AGRONAUTEN (FDA) EV,-,EL,VLACHIA,"ILIOSPOROI DIKTYO EREYNAS, TEKMIRIOSIS KAI ENERGOPOIISIS GIA TIN OIKOLOGIA KAI TIN ALLILEGGYI (DIKTYO ILIOSPOROI)",-,1
4488,2017-1-ES01-KA103-035545,2018-2019,2018-09,2018-09,5,Staff mobility for teaching between Programme Countries,"Architecture and construction, not elsewhere classified",ES,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,Staff,No,No,No,47.0,ES,VALENCIA,UNIVERSITAT POLITECNICA DE VALENCIA,E  VALENCI02,IT,Trieste,UNIVERSITA DEGLI STUDI DI TRIESTE,I  TRIESTE01,1
4489,2018-1-BE03-KA105-013622,2019-2020,2019-08,2019-08,8,Youth Exchanges - Programme Countries,? Unknown ?,NO,??? - ? Unknown ?,Female,Learner,No,No,No,20.0,NO,Rygge,RYGGE IDRETTSLAG,-,BE,Eupen,Eupener Turnverein 1967,-,1
4490,2018-3-CY02-KA105-001381,2019-2020,2019-06,2019-06,12,Youth Exchanges - Programme Countries,? Unknown ?,IT,??? - ? Unknown ?,Male,Learner,No,Yes,No,21.0,IT,CORATO BA,ASSOCIAZIONE CULTURALE BEYOND BORDERS CORATO,-,BE,Forge-Philippe,Asbl Connections,-,1
4491,2014-1-ES01-KA103-000258,2015-2016,2015-02,2015-07,157,Student mobility for studies between Programme Countries,Economics,ES,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,Learner,No,No,No,21.0,ES,CERDANYOLA BARCELONA,UNIVERSITAT AUTONOMA DE BARCELONA,E  BARCELO02,IT,TORINO,UNIVERSITA DEGLI STUDI DI TORINO,I  TORINO01,1
4492,2017-1-NL01-KA103-034940,2017-2018,2017-09,2017-12,91,Student mobility for studies between Programme Countries,Law,UK,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,Learner,No,No,No,20.0,NL,GRONINGEN,RIJKSUNIVERSITEIT GRONINGEN,NL GRONING01,IE,DUBLIN,"UNIVERSITY COLLEGE DUBLIN, NATIONAL UNIVERSITY OF IRELAND, DUBLIN",IRLDUBLIN02,1
4493,2016-1-TR01-KA103-028257,2017-2018,2017-06,2017-06,5,Staff mobility for training between Programme Countries,? Unknown ?,TR,??? - ? Unknown ?,Male,Staff,No,No,No,20.0,TR,ANKARA,ANKARA YILDIRIM BEYAZIT UNIVERSITESI,TR ANKARA15,FI,TURKU,TURUN AMMATTIKORKEAKOULU OY,SF TURKU05,1
4494,2017-1-DE01-KA103-002934,2018-2019,2018-01,2018-06,163,Student mobility for studies between Programme Countries,Mathematics,CN,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,Learner,No,No,No,25.0,DE,KAISERSLAUTERN,TECHNISCHE UNIVERSITAET KAISERSLAUTERN,D  KAISERS01,SE,GOETEBORG,CHALMERS TEKNISKA HOEGSKOLA AB,S  GOTEBOR02,1
4495,2019-1-PL01-KA105-064440,2019-2020,2019-08,2019-08,8,Youth Exchanges - Programme Countries,? Unknown ?,RO,??? - ? Unknown ?,Male,Learner,No,Yes,No,17.0,RO,GALATI,ASOCIATIA TINERILOR CU INITIATIVA CIVICA,-,PL,Poronin,Fundacja Wspierania Potencjalu Lokalnego,-,2
4496,2015-1-SI01-KA103-012358,2016-2017,2016-09,2016-09,5,Staff mobility for teaching between Programme Countries,Nursing and midwifery,SI,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,Staff,No,No,No,17.0,SI,Slovenj Gradec,Visoka sola za zdravstvene vede Slovenj Gradec,SI MARIBOR12,HR,OSIJEK,SVEUCILISTE JOSIPA JURJA STROSSMAYERA U OSIJEKU,HR OSIJEK01,1
4497,2015-1-IT01-KA102-004383,2016-2017,2016-07,2016-07,11,VET learners traineeships in companies abroad,Languages,IT,??? - ? Unknown ?,Female,Learner,No,No,No,56.0,IT,Treviso,Istituto tecnico statale G.Mazzotti,-,ES,VALENCIA,Advisers for International Programs in Spain SL,-,1
4498,2014-1-RO01-KA103-000204,2014-2015,2014-09,2015-06,303,Student mobility for studies between Programme Countries,Economics,RO,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Male,Learner,No,No,No,23.0,RO,IASI,UNIVERSITATEA ALEXANDRU IOAN CUZA DIN IASI,RO IASI02,LI,VADUZ,UNIVERSITAT LIECHTENSTEIN,LI VADUZ01,1
4499,2017-1-PT01-KA103-035297,2018-2019,2018-02,2018-04,78,Student mobility for traineeships between Programme Countries,Community sanitation,PT,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,Learner,No,No,No,21.0,PT,COIMBRA,INSTITUTO POLITECNICO DE COIMBRA,P  COIMBRA02,CZ,PRAHA,CESKA ZEMEDELSKA UNIVERZITA V PRAZE,CZ PRAHA02,1
4500,2018-1-UK01-KA103-046847,2018-2019,2018-07,2019-05,315,Student mobility for traineeships between Programme Countries,Mechanics and metal trades,UK,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,Learner,No,No,No,19.0,UK,LEEDS,UNIVERSITY OF LEEDS,UK LEEDS01,DE,Oberhaching,EnOcean GmbH,-,1
4501,2018-1-HU01-KA101-047005,2019-2020,2019-04,2019-04,5,Job Shadowing,"Information and Communication Technologies (ICTs), not further defined",HU,??? - ? Unknown ?,Male,Staff,No,No,No,32.0,HU,Bicske,Bicskei Csokonai Vitéz Mihály Általános Iskola,-,ES,Móstoles+,IES MIGUEL DE CERVANTES,-,1
4502,2018-1-DE01-KA103-003800,2018-2019,2018-09,2019-05,257,Student mobility for studies between Programme Countries,Literature and linguistics,DE,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,Learner,No,No,No,21.0,DE,Köln,UNIVERSITAET ZU KOELN,D  KOLN01,UK,Edinburgh,THE UNIVERSITY OF EDINBURGH,UK EDINBUR01,1
4503,2014-3-IT03-KA105-004395,2015-2016,2015-06,2015-06,8,Youth Exchanges - Partner Countries,? Unknown ?,RO,??? - ? Unknown ?,Female,Learner,No,No,No,23.0,RO,PLOIESTI,Asociatia ERUDITUS,-,IT,Palermo,Associazione Uniamoci Onlus,-,1
4504,2017-1-UK01-KA102-036166,2018-2019,2018-04,2018-04,18,VET learners traineeships in companies abroad,"Finance, banking and insurance",UK,ISCED-4 - Post-secondary non-tertiary education,Male,Learner,No,No,No,17.0,UK,Romford,Barking & Dagenham College,-,CZ,Praha,Square One o.s.,-,4
4505,2017-1-CZ01-KA103-034449,2017-2018,2017-09,2018-05,270,Student mobility for traineeships between Programme Countries,"Arts, not further defined",CZ,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,Learner,No,No,No,25.0,CZ,Praha,Vysoka skola umeleckoprumyslova v Praze,CZ PRAHA05,FR,Paris,Stephane Jaspert,-,1
4506,2017-1-LT01-KA107-034971,2019-2020,2019-04,2019-04,5,Staff mobility for Teaching To/From Partner Countries,Sports,LT,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,Staff,Yes,No,No,25.0,LT,KAUNAS,LIETUVOS SPORTO UNIVERSITETAS,LT KAUNAS04,RS,NIS,UNIVERZITET U NISU,RS NIS01,1
4507,2015-1-SE01-KA103-011983,2016-2017,2016-09,2017-01,145,Student mobility for studies between Programme Countries,"Business and administration, not further defined",SE,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,Learner,No,No,No,25.0,SE,KARLSTAD,KARLSTADS UNIVERSITET,S  KARLSTA01,NL,UTRECHT,Stichting Hogeschool Utrecht,NL UTRECHT24,1
4508,2014-1-BE02-KA103-000049,2015-2016,2015-03,2015-05,75,Student mobility for traineeships between Programme Countries,Secretarial and office work,BE,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,Learner,No,No,No,23.0,BE,Antwerpen,ARTESIS - PLANTIJN HOGESCHOOL ANTWERPEN,B  ANTWERP62,ES,Barcelona,Camino Barcelona,-,1
4509,2014-2-IT03-KA105-001227,2014-2015,2014-10,2014-10,9,Youth Exchanges - Programme Countries,? Unknown ?,HU,??? - ? Unknown ?,Female,Learner,No,No,No,17.0,HU,Kápolnásnyék,Szivárvány Törzs Közhasznú Egyesület,-,IT,NOVARA,AURIVE SOCIETA' COOPERATIVA SOCIALE,-,1
4510,2015-1-DE01-KA103-001757,2015-2016,2015-09,2016-01,141,Student mobility for studies between Programme Countries,Language acquisition,DE,ISCED-9 - Not elsewhere classified,Female,Learner,No,No,No,22.0,DE,T�?BINGEN,EBERHARD KARLS UNIVERSITAET TUEBINGEN,D  TUBINGE01,ES,Valencia,UNIVERSITAT DE VALENCIA,E  VALENCI01,1
4511,2014-1-ES01-KA103-000280,2015-2016,2015-02,2015-06,145,Student mobility for studies between Programme Countries,Architecture and construction,ES,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,Learner,No,No,No,21.0,ES,LEIOA,UNIVERSIDAD DEL PAIS VASCO/ EUSKAL HERRIKO UNIBERTSITATEA,E  BILBAO01,DK,RISSKOV,VIA UNIVERSITY COLLEGE,DK RISSKOV06,1
4512,2014-1-DK01-KA103-000485,2014-2015,2014-09,2015-01,124,Student mobility for studies between Programme Countries,Audio-visual techniques and media production,RO,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,Learner,No,No,No,20.0,DK,Kolding,Erhvervsakademi Kolding,DK KOLDING10,MT,MSIDA,UNIVERSITA TA MALTA,MT MALTA01,1
4513,2018-1-DK01-KA103-046874,2018-2019,2018-09,2019-01,130,Student mobility for studies between Programme Countries,"Business and administration, not further defined",LT,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Male,Learner,No,No,No,24.0,DK,Aarhus,AARHUS UNIVERSITET,DK ARHUS01,TR,TR ISTANBU17,Koç University,TR ISTANBU17,1
4514,2016-1-PL01-KA103-023423,2017-2018,2017-07,2017-09,61,Student mobility for traineeships between Programme Countries,Sports,PL,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Male,Learner,No,No,No,24.0,PL,Wroclaw,Akademia Wychowania Fizycznego we Wroclawiu,PL WROCLAW08,HR,Zagreb,GNK Dinamo Zagreb,-,1
4515,2016-1-AT01-KA103-016330,2017-2018,2017-03,2017-07,123,Student mobility for studies between Programme Countries,Music and performing arts,AT,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Male,Learner,No,No,No,27.0,AT,WIEN,UNIVERSITAT WIEN,A  WIEN01,DE,WEIMAR,BAUHAUS-UNIVERSITAET WEIMAR,D  WEIMAR01,1
4516,2016-1-RO01-KA107-023636,2018-2019,2018-04,2018-04,5,Staff mobility for Teaching To/From Partner Countries,Management and administration,RO,ISCED-5 - Short-cycle within the first cycle / Short-cycle tertiary education (EQF-5),Male,Staff,No,No,No,27.0,RO,CLUJ NAPOCA,UNIVERSITATEA BABES BOLYAI,RO CLUJNAP01,KR,Seoul,HUFS RESEARCH & BUSINESS FOUNDATION,-,1
4517,2015-1-IT02-KA103-013385,2015-2016,2015-09,2016-09,360,Student mobility for studies between Programme Countries,Architecture and town planning,IT,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,Learner,No,No,No,24.0,IT,Roma,UNIVERSITA DEGLI STUDI DI ROMA LA SAPIENZA,I  ROMA01,PT,LISBOA,UNIVERSIDADE DE LISBOA,P  LISBOA109,1
4518,2017-1-AT01-KA103-034769,2017-2018,2017-07,2018-01,183,Student mobility for traineeships between Programme Countries,"Business and administration, not elsewhere classified",AT,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,Learner,No,No,No,22.0,AT,Krems,IMC FACHHOCHSCHULE KREMS GMBH,A  KREMS03,UK,"West Drayton, London",Lufthansa UK,-,1
4519,2014-3-FR02-KA105-009311,2015-2016,2015-04,2015-04,5,Youth Exchanges - Programme Countries,? Unknown ?,BG,??? - ? Unknown ?,Male,Learner,Yes,No,No,14.0,BG,Plovdiv,National Rehabilitation Centre for Blind,-,FR,Angers,Mutualité Française Anjou-Mayenne,-,1
4520,2018-1-PL01-KA103-047858,2019-2020,2019-05,2019-05,5,Staff mobility for training between Programme Countries,? Unknown ?,PL,??? - ? Unknown ?,Female,Staff,No,No,No,14.0,PL,CZESTOCHOWA,UNIWERSYTET HUMANISTYCZNO-PRZYRODNICZY IM. JANA DLUGOSZA W CZESTOCHOWIE,PL CZESTOC02,SK,ZILINA,ZILINSKA UNIVERZITA V ZILINE,SK ZILINA01,2
4521,2017-1-FR01-KA103-035922,2017-2018,2017-09,2017-12,120,Student mobility for traineeships between Programme Countries,"Business and administration, not further defined",FR,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Male,Learner,No,No,No,23.0,FR,EURALILLE,SKEMA BUSINESS SCHOOL,F  SOPHIA01,NL,AMSTERDAM,RLG EUROPE BV,-,1
