,Project Reference,Academic Year,Mobility Start Month,Mobility End Month,Mobility Duration,Activity (mob),Field of Education,Participant Nationality,Education Level,Participant Gender,Participant Profile,Special Needs,Fewer Opportunities,GroupLeader,Participant Age,Sending Country Code,Sending City,Sending Organization,Sending Organisation Erasmus Code,Receiving Country Code,Receiving City,Receiving Organization,Receiving Organisation Erasmus Code,Participants
2114,2015-1-DK01-KA102-004175,2017-2018,2017-01,2017-02,30,VET learners traineeships in companies abroad,Child care and youth services,DK,??? - ? Unknown ?,Female,Learner,No,No,No,20.0,DK,Odense C,Social- og Sundhedsskolen Fyn,-,ES,Torremolinos,Venga Travel Danmark ApS,-,1
2115,2015-3-IE01-KA105-016687,2016-2017,2016-05,2016-06,13,Youth Exchanges - Programme Countries,? Unknown ?,UK,??? - ? Unknown ?,Male,Learner,No,Yes,No,18.0,UK,Belfast,Merseyside Adventure Sailing Trust,-,IE,Dublin,Sail Training Ireland for Youth Development,-,1
2116,2019-1-ES02-KA105-012856,2019-2020,2019-09,2019-09,7,Youth Exchanges - Programme Countries,? Unknown ?,EL,??? - ? Unknown ?,Female,Learner,No,No,No,26.0,EL,Athens,ENTREPRENEURSHIP AND SOCIAL ECONOMY GROUP,-,ES,Ourense,Sustinea,-,1
2117,2016-1-HR01-KA103-021709,2017-2018,2017-02,2017-06,134,Student mobility for studies between Programme Countries,Forestry,HR,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Male,Learner,No,No,No,25.0,HR,Zagreb,SVEUCILISTE U ZAGREBU,HR ZAGREB01,CZ,Praha,CESKA ZEMEDELSKA UNIVERZITA V PRAZE,CZ PRAHA02,1
2118,2019-1-FR01-KA103-059917,2019-2020,2019-09,2020-01,143,Student mobility for traineeships between Programme Countries,"Business and administration, not further defined",FR,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Male,Learner,No,No,No,19.0,FR,BELFORT,ASSOCIATION POUR LA GESTION DE L'ECOLE SUPERIEURE DES TECHNOLOGIES ET DES AFFAIRES,F  BELFORT07,BE,Bruxelles,APROPLAN,-,1
2119,2016-1-FR01-KA103-022479,2016-2017,2016-10,2017-06,270,Student mobility for studies between Programme Countries,Architecture and town planning,FR,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Male,Learner,No,No,No,23.0,FR,Talence,Ecole nationale supérieure d'architecture et de paysage de Bordeaux,F  BORDEAU16,ES,GRANADA,UNIVERSIDAD DE GRANADA,E  GRANADA01,1
2120,2015-1-ES01-KA103-013611,2016-2017,2016-01,2016-01,3,Staff mobility for teaching between Programme Countries,"Health, not further defined",ES,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,Staff,No,No,No,23.0,ES,BARCELONA,UNIVERSITAT RAMON LLULL FUNDACIO,E  BARCELO16,BE,Namur,Haute Ecole de Namur-Liège-Luxembourg,B  NAMUR15,1
2121,2016-1-ES01-KA103-023392,2017-2018,2017-03,2017-06,89,Student mobility for traineeships between Programme Countries,"Travel, tourism and leisure",ES,ISCED-5 - Short-cycle within the first cycle / Short-cycle tertiary education (EQF-5),Male,Learner,No,No,No,21.0,ES,SANTANDER,IES PEÑACASTILLO,E  SANTAND09,PL,Poznan,KONTAKT to szkoła językowa,-,1
2122,2014-3-TR01-KA105-013764,2015-2016,2015-04,2015-05,7,Youth Exchanges - Programme Countries,? Unknown ?,RO,??? - ? Unknown ?,Female,Learner,No,No,No,22.0,RO,Bucuresti,Youth for a Better Future,-,TR,Ayd�n,aydin kulturel gelisim dernegi,-,1
2123,2018-1-FR01-KA103-045979,2019-2020,2019-01,2019-05,115,Student mobility for studies between Programme Countries,"Business and administration, not further defined",FR,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,Learner,No,No,No,23.0,FR,Talence,GROUPE KEDGE BUSINESS SCHOOL,F  BORDEAU57,IE,Dublin,DUBLIN CITY UNIVERSITY,IRLDUBLIN04,1
2124,2019-1-NL01-KA103-059938,2019-2020,2019-09,2020-01,128,Student mobility for studies between Programme Countries,"Arts, not further defined",NL,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,Learner,No,No,No,21.0,NL,GRONINGEN,RIJKSUNIVERSITEIT GRONINGEN,NL GRONING01,ES,MADRID,UNIVERSIDAD AUTONOMA DE MADRID,E  MADRID04,1
2125,2014-1-BG01-KA105-000787,2014-2015,2014-10,2014-10,8,Youth Exchanges - Programme Countries,? Unknown ?,MK,??? - ? Unknown ?,Male,Learner,No,Yes,Yes,20.0,MK,Skopje,Zip Zeri i Popullit Institute,-,BG,Varna,Orenda Foundation,-,1
2126,2016-1-UK01-KA103-023109,2016-2017,2016-10,2017-05,236,Student mobility for traineeships between Programme Countries,Psychology,UK,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,Learner,No,No,No,20.0,UK,COLCHESTER,UNIVERSITY OF ESSEX,UK COLCHES01,ES,POZUELO DE ALARCON,FUNDACION UNIVERSIDAD FRANCISCO DE VITORIA,E  MADRID28,1
2127,2015-1-FI01-KA103-008717,2016-2017,2016-01,2016-06,138,Student mobility for studies between Programme Countries,"Agriculture, not elsewhere classified",FI,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,Learner,No,No,No,25.0,FI,HELSINKI,HELSINGIN YLIOPISTO,SF HELSINK01,SE,UPPSALA,SVERIGES LANTBRUKSUNIVERSITET,S  UPPSALA02,1
2128,2019-1-IT02-KA103-061392,2019-2020,2019-09,2020-03,190,Student mobility for studies between Programme Countries,Psychology,IT,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,Learner,No,No,No,21.0,IT,PADOVA,UNIVERSITA DEGLI STUDI DI PADOVA,I  PADOVA01,ES,Murcia,UNIVERSIDAD DE MURCIA,E  MURCIA01,1
2129,2018-3-ES02-KA105-012269,2019-2020,2019-09,2019-09,7,Youth Exchanges - Programme Countries,? Unknown ?,ES,??? - ? Unknown ?,Female,Learner,No,No,No,28.0,ES,Santiago del Teide,Asociación Folclórica y Cultural Araza,-,ES,Santiago del Teide,Asociación Folclórica y Cultural Araza,-,1
2130,2018-3-ES02-KA105-012319,2019-2020,2019-09,2019-09,8,Mobility of youth workers - Programme Countries,? Unknown ?,RO,??? - ? Unknown ?,Female,Staff,No,No,No,31.0,RO,Constanta,Youth Vision,-,ES,Letur (Albacete),LEITMOTIV-MOVEMENT,-,1
