,Project Reference,Academic Year,Mobility Duration,Activity (mob),Field of Education,Participant Gender,Participant Profile,Special Needs,Fewer Opportunities,GroupLeader,Participant Age,Sending City,Sending Organization,Receiving City,Receiving Organization,Participants,Activity Classification,New Participant Nationality,New Education Level,Receiving Country Name,Sending Country Name
2120,2015-1-ES01-KA103-013611,2016-2017,3,Staff mobility for teaching between Programme Countries,"Health, not further defined",Female,Staff,No,No,No,23,BARCELONA,UNIVERSITAT RAMON LLULL FUNDACIO,Namur,Haute Ecole de Namur-Liège-Luxembourg,1,Teach,Spain,Bachelor,Belgium,Spain
2121,2016-1-ES01-KA103-023392,2017-2018,89,Student mobility for traineeships between Programme Countries,"Travel, tourism and leisure",Male,Learner,No,No,No,21,SANTANDER,IES PEÑACASTILLO,Poznan,KONTAKT to szkoła językowa,1,Traineeships,Spain,Tertiary Education,Poland,Spain
2122,2014-3-TR01-KA105-013764,2015-2016,7,Youth Exchanges - Programme Countries,Other,Female,Learner,No,No,No,22,Bucuresti,Youth for a Better Future,Aydn,aydin kulturel gelisim dernegi,1,Youth Exchange,Romania,Unknown,Turkey,Romania
2123,2018-1-FR01-KA103-045979,2019-2020,115,Student mobility for studies between Programme Countries,"Business and administration, not further defined",Male,Learner,No,No,No,23,Talence,GROUPE KEDGE BUSINESS SCHOOL,Dublin,DUBLIN CITY UNIVERSITY,1,Studies,France,Bachelor,Ireland,France
2124,2019-1-NL01-KA103-059938,2019-2020,128,Student mobility for studies between Programme Countries,"Arts, not further defined",Male,Learner,No,No,No,21,GRONINGEN,RIJKSUNIVERSITEIT GRONINGEN,MADRID,UNIVERSIDAD AUTONOMA DE MADRID,1,Studies,Netherlands,Bachelor,Spain,Netherlands
2125,2014-1-BG01-KA105-000787,2014-2015,8,Youth Exchanges - Programme Countries,Other,Male,Learner,No,Yes,Yes,20,Skopje,Zip Zeri i Popullit Institute,Varna,Orenda Foundation,1,Youth Exchange,North Macedonia,Unknown,Bulgaria,North Macedonia
2126,2016-1-UK01-KA103-023109,2016-2017,236,Student mobility for traineeships between Programme Countries,Psychology,Female,Learner,No,No,No,20,COLCHESTER,UNIVERSITY OF ESSEX,POZUELO DE ALARCON,FUNDACION UNIVERSIDAD FRANCISCO DE VITORIA,1,Traineeships,United Kingdom,Bachelor,Spain,United Kingdom
2127,2015-1-FI01-KA103-008717,2016-2017,138,Student mobility for studies between Programme Countries,"Agriculture, not elsewhere classified",Male,Learner,No,No,No,25,HELSINKI,HELSINGIN YLIOPISTO,UPPSALA,SVERIGES LANTBRUKSUNIVERSITET,1,Studies,Finland,Bachelor,Sweden,Finland
2128,2019-1-IT02-KA103-061392,2019-2020,190,Student mobility for studies between Programme Countries,Psychology,Female,Learner,No,No,No,21,PADOVA,UNIVERSITA DEGLI STUDI DI PADOVA,Murcia,UNIVERSIDAD DE MURCIA,1,Studies,Italy,Bachelor,Spain,Italy
2129,2018-3-ES02-KA105-012269,2019-2020,7,Youth Exchanges - Programme Countries,Other,Female,Learner,No,No,No,28,Santiago del Teide,Asociación Folclórica y Cultural Araza,Santiago del Teide,Asociación Folclórica y Cultural Araza,1,Youth Exchange,Spain,Unknown,Spain,Spain
2130,2018-3-ES02-KA105-012319,2019-2020,8,Mobility of youth workers - Programme Countries,Other,Female,Staff,No,No,No,31,Constanta,Youth Vision,Letur (Albacete),LEITMOTIV-MOVEMENT,1,Workers,Romania,Unknown,Spain,Romania
2131,2014-1-FR01-KA103-000988,2014-2015,241,Student mobility for studies between Programme Countries,"Business, administration and law",Female,Learner,No,No,No,23,Les Ponts-de-C,Association Sainte Anne,POZUELO DE ALARCON,FUNDACION UNIVERSIDAD FRANCISCO DE VITORIA,1,Studies,France,Master,Spain,France
2132,2017-1-FI01-KA105-034447,2017-2018,8,Youth Exchanges - Programme Countries,Other,Female,Learner,No,No,Yes,24,Brussel,Humanistische Jongeren VZW,Helsinki,Prometheus-leirin tuki ry,1,Youth Exchange,Belgium,Unknown,Finland,Belgium
2133,2016-1-SE01-KA107-022021,2017-2018,143,Student mobility for Studies To/From Partner Countries,"Information and Communication Technologies (ICTs), inter-disciplinary programmes",Male,Learner,No,No,No,27,UPPSALA,UPPSALA UNIVERSITET,Bloemfontein,CENTRAL UNIVERSITY OF TECHNOLOGY FREE STATE,1,Studies,Sweden,Bachelor,South Africa,Sweden
2134,2015-1-BG01-KA103-013798,2016-2017,5,Staff mobility for teaching between Programme Countries,"Travel, tourism and leisure",Female,Staff,No,No,No,27,PLOVDIV,VU PO AGROBIZNES I RAZVITIE NA REGIONITE - PLOVDIV,FOGGIA,UNIVERSITA DEGLI STUDI DI FOGGIA,1,Teach,Bulgaria,Bachelor,Italy,Bulgaria
2135,2016-1-TR01-KA105-029854,2017-2018,6,Youth Exchanges - Programme Countries,Other,Male,Learner,No,Yes,No,18,Trabzon,Trabzon Intercultural Youth Network,Trabzon,Trabzon Intercultural Youth Network,1,Youth Exchange,Turkey,Unknown,Turkey,Turkey
2136,2016-3-HU02-KA105-001957,2017-2018,9,Youth Exchanges - Programme Countries,Other,Female,Learner,No,No,No,23,Milano,SCAMBIEUROPEI,Téglás,Nyugattól Keletre Egyesület,1,Youth Exchange,Italy,Unknown,Hungary,Italy
2137,2017-1-FR01-KA103-035617,2018-2019,138,Student mobility for studies between Programme Countries,Management and administration,Male,Learner,No,No,No,21,MONT SAINT AIGNAN CEDEX,UNIVERSITE DE ROUEN NORMANDIE,BRATISLAVA,UNIVERZITA KOMENSKEHO V BRATISLAVE,1,Studies,France,Bachelor,Slovakia,France
2138,2014-1-DK01-KA103-000062,2014-2015,154,Student mobility for studies between Programme Countries,Language acquisition,Female,Learner,No,No,No,23,Copenhagen,KOBENHAVNS UNIVERSITET,UK EDINBUR01,THE UNIVERSITY OF EDINBURGH,1,Studies,Denmark,Bachelor,United Kingdom,Denmark
2139,2014-1-FR01-KA103-001749,2015-2016,147,Student mobility for studies between Programme Countries,Law,Female,Learner,No,No,No,20,Versailles,UNIVERSITE DE VERSAILLES SAINT-QUENTIN-EN-YVELINES.,Turku,TURUN YLIOPISTO,2,Studies,France,Bachelor,Finland,France
2140,2016-1-TR01-KA102-032292,2017-2018,12,Staff training abroad,Accounting and taxation,Male,Staff,No,No,No,45,Kayseri,Palas Cok Programli Anadolu Lisesi,Bournemouth,Ilbey Training International Ltd.,1,Training,Turkey,Unknown,United Kingdom,Turkey
2141,2015-1-IT02-KA103-013280,2015-2016,140,Student mobility for studies between Programme Countries,"Business and administration, not further defined",Female,Learner,No,No,No,19,AOSTA,UNIVERSITA DELLA VALLE D'AOSTA,MADRID,UNIVERSIDAD AUTONOMA DE MADRID,1,Studies,Italy,Bachelor,Spain,Italy
