,Project Reference,Academic Year,Mobility Duration,Activity (mob),Field of Education,Participant Gender,Participant Profile,Special Needs,Fewer Opportunities,GroupLeader,Participant Age,Sending City,Sending Organization,Receiving City,Receiving Organization,Participants,Activity Classification,New Participant Nationality,New Education Level,Receiving Country Name,Sending Country Name
5721,2017-1-TR01-KA103-037414,2018-2019,128,Student mobility for studies between Programme Countries,Forestry,Female,Learner,No,No,No,22,KAHRAMANMARAS,KAHRAMANMARAS SUTCU IMAM UNIVERSITESI,BIALYSTOK,POLITECHNIKA BIALOSTOCKA,1,Studies,Turkey,Bachelor,Poland,Turkey
5722,2014-1-CZ01-KA103-000767,2015-2016,5,Staff mobility for training between Programme Countries,Other,Male,Staff,No,No,No,22,PILSEN,ZAPADOCESKA UNIVERZITA V PLZNI,BYDGOSZCZ,UNIWERSYTET KAZIMIERZA WIELKIEGO,1,Training,Czechia,Unknown,Poland,Czechia
5723,2015-1-EE01-KA102-013334,2015-2016,34,VET traineeships in companies abroad,Food processing,Male,Learner,No,No,No,19,Tartu,Tartu Kutsehariduskeskus,Rimini,Sistema Turismo s.r.l.,1,Traineeships,Estonia,Unknown,Italy,Estonia
5724,2014-1-FR01-KA103-000150,2015-2016,124,Student mobility for studies between Programme Countries,"Languages, not further defined",Female,Learner,No,No,No,22,VILLETANEUSE,UNIVERSITE PARIS 13,LIVERPOOL,THE UNIVERSITY OF LIVERPOOL,1,Studies,France,Bachelor,United Kingdom,France
5725,2014-1-ES01-KA102-001962,2015-2016,30,VET traineeships in companies abroad,"Hotel, restaurants and catering",Female,Learner,No,No,No,32,LAS PALMAS DE GRAN CANARIA,CIFP SAN CRISTOBAL,Chemnitz,F+U Sachsen gGmbH,1,Traineeships,Spain,Unknown,Germany,Spain
5726,2016-2-HR01-KA105-022312,2016-2017,8,Youth Exchanges - Programme Countries,Other,Male,Learner,Yes,No,No,22,Zagreb,Savez gluhih i nagluhih grada Zagreba,Zagreb,Savez gluhih i nagluhih grada Zagreba,2,Youth Exchange,Croatia,Unknown,Croatia,Croatia
5727,2016-3-IT03-KA105-010114,2017-2018,2,Advance Planning Visit – Youth Exchange,Other,Female,Learner,No,No,Yes,31,SOFIA,TSENTUR ZA USTOYCHIVO GRAZHDANSKO OBSHTESTVO,Torino di Sangro,CIRCOLO ARCI NUOVA ASSOCIAZIONE - CIRCOLO TERRITORIALE DI CHIETI,1,Youth Exchange,Bulgaria,Unknown,Italy,Bulgaria
5728,2017-1-PL01-KA103-036096,2018-2019,120,Student mobility for traineeships between Programme Countries,"Engineering and engineering trades, not elsewhere classified",Male,Learner,No,No,No,24,GLIWICE,POLITECHNIKA SLASKA,Erlangen,Siemens Healthcare GmbH,1,Traineeships,Poland,Master,Germany,Poland
5729,2016-1-CZ01-KA102-023194,2017-2018,13,VET traineeships in companies abroad,Building and civil engineering,Male,Learner,No,No,No,18,Hranice,Stredni prumyslova skola Hranice,Sligo,Doni Feeney Painting & Decorating Ltd,1,Traineeships,Czechia,Upper Secondary Education,Ireland,Czechia
5730,2014-1-NO01-KA103-000051,2015-2016,133,Student mobility for studies between Programme Countries,Journalism and information,Female,Learner,No,No,No,21,Volda,Høgskulen i Volda,"POOLE,DORSET",BOURNEMOUTH UNIVERSITY,1,Studies,Norway,Bachelor,United Kingdom,Norway
5731,2019-2-DE04-KA105-018194,2019-2020,14,Youth Exchanges - Partner Countries,Other,Male,Learner,No,No,No,18,Berlin,GrenzKultur gGmbH,Molcad,Staatliche Sanatoriumsschule Molcad,1,Youth Exchange,Germany,Unknown,Belarus,Germany
5732,2015-1-FR01-KA103-014257,2015-2016,5,Staff mobility for teaching between Programme Countries,Law,Male,Staff,No,No,No,18,Toulouse,UNIVERSITE TOULOUSE 1 CAPITOLE,Valencia,UNIVERSITAT DE VALENCIA,1,Teach,France,Bachelor,Spain,France
5733,2016-1-DE02-KA102-003110,2017-2018,49,VET traineeships in companies abroad,Education science,Female,Learner,No,No,No,19,Landshut,Katholische Fachakademie für Sozialpädagogik Landshut Seligenthal,Barcelona,KIDZZ - Espacio Infantil Internacional,2,Traineeships,Germany,Post-Secondary Education,Spain,Germany
5734,2018-1-ES01-KA102-049105,2019-2020,90,ErasmusPro - Mobility of VET learners (3 to 12 months),Business and administration,Male,Learner,No,No,No,19,Osuna,I.E.S. Francisco Rodríguez Marín,Pavia,CNA SERVIZI E CONSULENZE S.R.L.,1,Learner,Spain,Upper Secondary Education,Italy,Spain
5735,2016-1-LT01-KA101-023018,2017-2018,6,Structured Courses/Training Events,Education,Female,Staff,No,No,No,48,Prienai,"Prienu ,,Revuonos"" pagrindine mokykla",Barcelona,EUROPASS sas,1,Training,Lithuania,Unknown,Spain,Lithuania
5736,2014-1-PL01-KA103-000549,2015-2016,5,Staff mobility for teaching between Programme Countries,"Arts, not elsewhere classified",Female,Staff,No,No,No,48,WARSZAWA,AKADEMIA SZTUK PIEKNYCH W WARSZAWIE,Palermo,Accademia di Belle Arti di Palermo,1,Teach,Poland,Master,Italy,Poland
5737,2016-1-NO01-KA101-021877,2017-2018,7,Structured Courses/Training Events,Languages,Female,Staff,No,No,No,39,STJRDAL,Ole Vig videregående skole,YORK NORTH YORKSHIRE,UNIVERSITY OF YORK,1,Training,Norway,Unknown,United Kingdom,Norway
5738,2016-1-SI01-KA103-021369,2017-2018,155,Student mobility for studies between Programme Countries,Marketing and advertising,Male,Learner,No,No,No,22,LJUBLJANA,UNIVERZA V LJUBLJANI,LISBOA,UNIVERSIDADE CATOLICA PORTUGUESA,1,Studies,Slovenia,Bachelor,Portugal,Slovenia
5739,2014-1-IE02-KA103-000058,2015-2016,172,Student mobility for traineeships between Programme Countries,Business and administration,Male,Learner,No,No,No,23,CORK,"UNIVERSITY COLLEGE CORK -  NATIONAL UNIVERSITY OF IRELAND, CORK",Colombes,Polarys,1,Traineeships,France,Bachelor,France,Ireland
5740,2016-1-NL01-KA103-022705,2017-2018,150,Student mobility for studies between Programme Countries,"Hotel, restaurants and catering",Female,Learner,No,No,No,21,Leeuwarden,Stichting Stenden Hogeschool,MSIDA,UNIVERSITA TA MALTA,1,Studies,Germany,Bachelor,Malta,Netherlands
5741,2017-1-CY01-KA103-026639,2017-2018,116,Student mobility for studies between Programme Countries,"Arts, not further defined",Male,Learner,No,No,No,20,Nicosia,University of Nicosia,COVENTRY,COVENTRY UNIVERSITY,1,Studies,Cyprus,Bachelor,United Kingdom,Cyprus
5742,2016-1-IE02-KA103-000439,2016-2017,135,Student mobility for studies between Programme Countries,"Arts, not further defined",Female,Learner,No,No,No,20,DUBLIN,INSTITIUID TEICNEOLAIOCHTA BHAILE ATHA CLIATH,NANTES,ECOLE DE DESIGN NANTES ATLANTIQUE,1,Studies,Ireland,Bachelor,France,Ireland
5743,2014-1-FR01-KA103-001065,2015-2016,82,Student mobility for traineeships between Programme Countries,Engineering and engineering trades,Female,Learner,No,No,No,23,MONTPELLIER,UNIVERSITE MONTPELLIER 2 SCIENCES ET TECHNIQUES,Southampton,University of Southampton,1,Traineeships,France,Master,United Kingdom,France
5744,2017-2-EE01-KA105-035003,2017-2018,335,European Voluntary Service - Partner Countries,Other,Male,Learner,No,Yes,No,22,Mykolaiv,"Mykolaivska Miska Molodizhna Hromadska Organizatsiya ""Iskra""",Viljandi,NGO Daycare centre Vinger,1,Voluntary,Ukraine,Unknown,Estonia,Ukraine
5745,2016-1-DE01-KA103-002659,2016-2017,60,Student mobility for traineeships between Programme Countries,Mechanics and metal trades,Female,Learner,No,No,No,24,Kassel,UNIVERSITAET KASSEL,Herzogenburg,Georg Fischer Druckguss,1,Traineeships,Croatia,Bachelor,Austria,Germany
5746,2015-1-FR01-KA103-013371,2016-2017,150,Student mobility for studies between Programme Countries,"Engineering and engineering trades, not further defined",Male,Learner,No,No,No,23,Marne-la-Valle,Ecole Nationale des Ponts et Chaussées,TRONDHEIM,NORGES TEKNISK-NATURVITENSKAPELIGE UNIVERSITET NTNU,1,Studies,France,Master,Norway,France
5747,2018-1-ES01-KA103-047784,2018-2019,305,Student mobility for studies between Programme Countries,Electronics and automation,Male,Learner,No,No,No,25,GETAFE (MADRID),UNIVERSIDAD CARLOS III DE MADRID,MUENCHEN,TECHNISCHE UNIVERSITAET MUENCHEN,1,Studies,Spain,Bachelor,Germany,Spain
5748,2018-1-FR01-KA103-045979,2019-2020,180,Student mobility for traineeships between Programme Countries,"Business and administration, not further defined",Female,Learner,No,No,No,22,Talence,GROUPE KEDGE BUSINESS SCHOOL,Schenefeld (Hambourg),SCANFIL,1,Traineeships,France,Master,Germany,France
5749,2015-1-DK01-KA105-004043,2015-2016,8,Youth Exchanges - Partner Countries,Other,Male,Learner,No,No,No,15,Yerevan,Graduates Association of Yerevan Brusov State University of Languages and Social Sciences,Yerevan,Graduates Association of Yerevan Brusov State University of Languages and Social Sciences,2,Youth Exchange,Armenia,Unknown,Armenia,Armenia
5750,2018-1-DE01-KA103-003799,2018-2019,134,Student mobility for studies between Programme Countries,Economics,Female,Learner,No,No,No,21,STUTTGART,HOCHSCHULE FUR TECHNIK STUTTGART,GRANADA,UNIVERSIDAD DE GRANADA,1,Studies,Germany,Bachelor,Spain,Germany
5751,2014-1-TR01-KA102-004224,2015-2016,14,Staff training abroad,Education,Male,Staff,No,No,No,44,Bursa,Saime Sultan Mesleki ve Teknik Anadolu Lisesi,Gorzw Wlkp.,AP Edukacja Sp. zo.o.,1,Training,Turkey,Unknown,Poland,Turkey
5752,2017-1-FR01-KA103-035427,2017-2018,293,Student mobility for studies between Programme Countries,Literature and linguistics,Male,Learner,No,No,No,20,CERGY-PONTOISE,université de Cergy-Pontoise,TARRAGONA,UNIVERSITAT ROVIRA I VIRGILI,1,Studies,Portugal,Bachelor,Spain,France
5753,2016-1-EL01-KA103-022681,2017-2018,62,Student mobility for traineeships between Programme Countries,Literature and linguistics,Male,Learner,No,No,No,31,ΑΘΗΝΑ,ARISTOTELIO PANEPISTIMIO THESSALONIKIS,BERLIN,"HUMBOLDT - UNIVERSITAT ZU BERLIN, INSTITUT FUR ANGLISTIK UND AMERIKANISTIK",1,Traineeships,Greece,Doctoral,Germany,Greece
5754,2016-1-RO01-KA107-023397,2017-2018,12,Staff mobility for Teaching To/From Partner Countries,"Engineering and engineering trades, not further defined",Female,Staff,No,No,No,31,Toronto,The Centennial College of Applied Arts and Technology,BRASOV,UNIVERSITATEA TRANSILVANIA DIN BRASOV,1,Teach,Canada,Doctoral,Romania,Canada
5755,2018-1-HR01-KA103-046931,2019-2020,136,Student mobility for studies between Programme Countries,"Business and administration, not further defined",Male,Learner,No,No,No,22,Zagreb,SVEUCILISTE U ZAGREBU,Lisboa,UNIVERSIDADE NOVA DE LISBOA,1,Studies,Croatia,Bachelor,Portugal,Croatia
5756,2018-1-FR01-KA101-046861,2019-2020,3,Job Shadowing,Physical sciences,Female,Staff,No,No,No,37,EPERNAY,COLLEGE TERRES ROUGES,ÄNGELHOLM,Nyhemsskolan,2,Job,France,Unknown,Sweden,France
5757,2016-1-ES01-KA103-023103,2016-2017,285,Student mobility for studies between Programme Countries,"Business and administration, not further defined",Male,Learner,No,No,No,19,POZUELO DE ALARCON,ESCUELA SUPERIOR DE GESTION COMERCIAL Y MARKETING ESIC,CERGY PONTOISE CEDEX,ASSOCIATION GROUPE ESSEC,1,Studies,Spain,Bachelor,France,Spain
5758,2017-1-IT02-KA103-035405,2019-2020,4,Staff mobility for training between Programme Countries,Other,Male,Staff,No,No,No,19,VICO EQUENSE,FONDAZIONE ISTITUTO TECNICO SUPERIORE PER TECNOLOGIE INNOVATIVE PER I BENI E LE ATTIVITÀ CULTURALI E TURISTICHE,Londra,TravelEGO,2,Training,Italy,Unknown,United Kingdom,Italy
5759,2016-3-TR01-KA105-036729,2017-2018,7,Youth Exchanges - Partner Countries,Other,Male,Learner,No,No,No,24,Skopje,Zdruzhenie na gragjani SMART AP - Platforma za podrshka i razvoj na IKT kulturata i afirmacija na pretpriemnishtvo,Ankara,Group Education Volunteers,1,Youth Exchange,North Macedonia,Unknown,Turkey,North Macedonia
5760,2016-1-IT03-KA105-008207,2016-2017,5,Youth Exchanges - Partner Countries,Other,Male,Learner,No,No,No,23,Palermo,e-arch,Palermo,e-arch,2,Youth Exchange,Italy,Unknown,Italy,Italy
5761,2015-2-UK01-KA105-014071,2015-2016,6,Youth Exchanges - Programme Countries,Other,Female,Learner,No,Yes,No,26,London,i-xl,London,i-xl,1,Youth Exchange,Romania,Unknown,United Kingdom,United Kingdom
5762,2015-1-CZ01-KA103-013412,2015-2016,5,Staff mobility for training between Programme Countries,Other,Male,Staff,No,No,No,26,BRNO STRED,VYSOKE UCENI TECHNICKE V BRNE,MARIBOR,UNIVERZA V MARIBORU,1,Training,Czechia,Unknown,Slovenia,Czechia
5763,2017-1-NO02-KA105-000910,2018-2019,7,Youth Exchanges - Partner Countries,Other,Female,Learner,No,No,No,24,Tbilisi,Youth for Peace and Equality,Trysil,Shokkin Group Norge,1,Youth Exchange,Georgia,Unknown,Norway,Georgia
5764,2014-3-PL01-KA105-013614,2015-2016,6,Youth Exchanges - Programme Countries,Other,Female,Learner,No,Yes,No,22,ATHENS,Hellenic Youth Participation,Zakopane,Kujawskie Centrum Inicjatyw Spolecznych,1,Youth Exchange,Greece,Unknown,Poland,Greece
5765,2017-1-CZ01-KA107-034883,2018-2019,19,Staff mobility for Teaching To/From Partner Countries,Architecture and town planning,Male,Staff,No,No,No,22,SANTIAGO,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,LIBEREC,TECHNICKA UNIVERZITA V LIBERCI,1,Teach,Chile,Master,Czechia,Chile
5766,2016-1-SK01-KA103-022156,2016-2017,254,Student mobility for studies between Programme Countries,"Business and administration, not further defined",Female,Learner,No,No,No,23,Bratislava 1,UNIVERZITA KOMENSKEHO V BRATISLAVE,TURUN YLIOPISTO,TURUN YLIOPISTO,1,Studies,Slovakia,Master,Finland,Slovakia
5767,2017-1-ES01-KA103-035670,2018-2019,128,Student mobility for studies between Programme Countries,Medicine,Male,Learner,No,No,No,23,GRANADA,UNIVERSIDAD DE GRANADA,LUBLIN,UNIWERSYTET MEDYCZNY W LUBLINIE,1,Studies,Spain,Master,Poland,Spain
5768,2017-2-UK01-KA135-036987,2019-2020,365,European Voluntary Service - Programme Countries,Other,Male,Learner,No,No,No,22,Mechelen,Jeugd Rode Kruis VZW,Manchester,THE BRITISH RED CROSS SOCIETY ROYAL CHARTER,1,Voluntary,Belgium,Unknown,United Kingdom,Belgium
5769,2015-1-DE02-KA104-002050,2016-2017,5,Structured Courses/Training Events,Education,Female,Staff,No,No,No,43,Jena,Thüringer Volkshochschulverband e.V.,Sliema,Education Ltd,1,Training,Germany,Unknown,Malta,Germany
5770,2014-1-FI01-KA103-000185,2014-2015,243,Student mobility for studies between Programme Countries,Mechanics and metal trades,Female,Learner,No,No,No,23,TURKU,TURUN AMMATTIKORKEAKOULU OY,Bremen,Hochschule Bremen,1,Studies,Finland,Bachelor,Germany,Finland
5771,2018-1-IT02-KA103-047045,2018-2019,318,Student mobility for studies between Programme Countries,Medicine,Male,Learner,No,No,No,22,BOLOGNA,ALMA MATER STUDIORUM - UNIVERSITA DI BOLOGNA,HAMBURG,UNIVERSITAET HAMBURG,1,Studies,Italy,Master,Germany,Italy
5772,2018-1-IT01-KA102-006598,2019-2020,92,ErasmusPro - Mobility of VET learners (3 to 12 months),"Hotel, restaurants and catering",Female,Learner,No,No,No,19,Salsomaggiore Terme,I.S.I.S.S. MAGNAGHI - SOLARI,Bordeaux,Cap Ulysse,2,Learner,Italy,Upper Secondary Education,France,Italy
5773,2019-1-BE02-KA103-059988,2019-2020,136,Student mobility for studies between Programme Countries,Literature and linguistics,Female,Learner,No,No,No,19,Ghent,UNIVERSITEIT GENT,Valencia,UNIVERSITAT DE VALENCIA,1,Studies,Belgium,Bachelor,Spain,Belgium
5774,2015-1-PL01-KA103-014534,2015-2016,63,Student mobility for traineeships between Programme Countries,Biology,Female,Learner,No,No,No,25,WARSZAWA,UNIWERSYTET WARSZAWSKI,LUND,LUNDS UNIVERSITET,1,Traineeships,Poland,Master,Sweden,Poland
5775,2014-1-DE02-KA102-000586,2015-2016,3,Training assignments abroad,Education,Female,Staff,No,No,No,48,Munich,Landeshauptstadt Muenchen / Referat fuer Bildung und Sport / Paedagogisches Institut / Internationaler Austausch / Europabuero,Tallinn,Tallinna Ehituskool,1,Training,Germany,Unknown,Estonia,Germany
5776,2018-1-AT01-KA102-039114,2019-2020,22,Mobility of VET learners (2 weeks up to 3 months),Education,Female,Learner,No,No,No,16,Zell am See,Bundeshandelsakademie Zell am See,Gais bei Bruneck,Hotel Windschar,1,Learner,Austria,Upper Secondary Education,Italy,Austria
5777,2015-1-PL01-KA102-015151,2016-2017,12,VET traineeships in companies abroad,Education,Female,Learner,No,No,No,41,arki,Zespol Szkol im. Tadeusza Kosciuszki w Zarkach,Barcelos,Associação Intercultural Amigos da Mobilidade,1,Traineeships,Poland,Unknown,Portugal,Poland
5778,2015-1-UK01-KA103-012715,2015-2016,209,Student mobility for traineeships between Programme Countries,"Languages, not further defined",Female,Learner,No,No,No,20,"CANTERBURY, KENT",UNIVERSITY OF KENT,Clermont-Ferrand,Lycee Jeanne D'Arc,1,Traineeships,United Kingdom,Bachelor,France,United Kingdom
5779,2016-1-IT01-KA102-005082,2017-2018,32,VET traineeships in companies abroad,Biochemistry,Male,Learner,No,No,No,29,Vicenza,Fondazione Centro Produttività Veneto,PLYMOUTH,TELLUS LIMITED,1,Traineeships,Italy,Upper Secondary Education,United Kingdom,Italy
5780,2015-1-UK01-KA102-013132,2016-2017,15,VET traineeships in companies abroad,Sports,Male,Learner,No,No,No,18,Warrington,WARRINGTON COLLEGIATE,Lisboa,Sport Lisboa e Benfica,6,Traineeships,United Kingdom,Unknown,Portugal,United Kingdom
5781,2016-1-TR01-KA103-025954,2017-2018,134,Student mobility for studies between Programme Countries,"Manufacturing and processing, not further defined",Female,Learner,No,No,No,22,ANKARA,CANKAYA UNIVERSITESI VAKFI,VAASA,VAASAN YLIOPISTO,1,Studies,Turkey,Bachelor,Finland,Turkey
5782,2017-1-EL01-KA102-035828,2018-2019,5,Staff training abroad,"Travel, tourism and leisure",Male,Staff,No,No,No,31,ΚΑΤΕΡΙΝΗ,PIERIA HOTELIERS ASSOCIATION,Limassol,IHE INNOVATIOVE HOSPITALITY EDUCATION LTD,1,Training,Greece,Unknown,Cyprus,Greece
5783,2015-1-DE03-KA101-013284,2015-2016,5,Structured Courses/Training Events,Teacher training with subject specialization,Female,Staff,No,No,No,43,Bensheim,"Schillerschule Bensheim, Grund-, Haupt- und Realschule",Taormina,Carob Institute,1,Training,Germany,Unknown,Italy,Germany
5784,2015-1-TR01-KA103-020044,2016-2017,88,Student mobility for traineeships between Programme Countries,"Materials (glass, paper, plastic and wood)",Female,Learner,No,No,No,28,ESKISEHIR,ANADOLU UNIVERSITY,AACHEN,GESELLSCHAFT FUR ANGEWANDTE MIKRO UND OPTOELEKTRONIK MIT BESCHRANKTERHAFTUNG AMO GMBH,1,Traineeships,Turkey,Master,Germany,Turkey
5785,2018-1-NL01-KA103-038847,2018-2019,113,Student mobility for studies between Programme Countries,"Business and administration, not elsewhere classified",Female,Learner,No,No,No,20,ROTTERDAM,STICHTING HOGESCHOOL ROTTERDAM,ROUBAIX,ECOLE HAUTES ETUDES COMMERCIALES NORD,1,Studies,Netherlands,Bachelor,France,Netherlands
5786,2014-1-ES01-KA103-001058,2014-2015,137,Student mobility for traineeships between Programme Countries,Environmental sciences,Male,Learner,No,No,No,23,SEVILLA,UNIVERSIDAD PABLO DE OLAVIDE,Wrzburg,JULIUS-MAXIMILIANS UNIVERSITAET WUERZBURG,1,Traineeships,Spain,Bachelor,Germany,Spain
5787,2014-1-TR01-KA103-000211,2015-2016,153,Student mobility for studies between Programme Countries,Statistics,Female,Learner,No,No,No,20,ANKARA,GAZI UNIVERSITESI,MILANO,UNIVERSITA&apos; DEGLI STUDI DI MILANO-BICOCCA,1,Studies,Turkey,Bachelor,Italy,Turkey
5788,2019-1-ES02-KA105-013031,2019-2020,8,Youth Exchanges - Programme Countries,Other,Male,Learner,No,No,No,23,Cagliari,Coda di Lupo,Plasencia,Asociación Multideportiva Euexia,1,Youth Exchange,Italy,Unknown,Spain,Italy
5789,2018-1-PL01-KA105-048045,2018-2019,7,Youth Exchanges - Programme Countries,Other,Female,Learner,No,Yes,No,22,Magyaralms,Európa Ifjúsága Egyesület,owicz,Europejska Fundacja Rozwoju Czlowieka,1,Youth Exchange,Hungary,Unknown,Poland,Hungary
5790,2018-1-PL01-KA103-049727,2019-2020,95,Student mobility for traineeships between Programme Countries,"Security services, not elsewhere classified",Female,Learner,No,No,No,23,WARSZAWA,AKADEMIA SZTUKI WOJENNEJ,Rhodes,Algoos Study Work and travelTM INC,1,Traineeships,Poland,Bachelor,Greece,Poland
5791,2016-1-DE01-KA103-002389,2016-2017,153,Student mobility for studies between Programme Countries,Psychology,Female,Learner,No,No,No,24,Düsseldorf,HEINRICH-HEINE-UNIVERSITAET DUESSELDORF,Sevilla,UNIVERSIDAD PABLO DE OLAVIDE,1,Studies,Germany,Master,Spain,Germany
5792,2015-1-TR01-KA103-016937,2016-2017,119,Student mobility for studies between Programme Countries,"Business and administration, not further defined",Female,Learner,No,No,No,23,Bornova,EGE UNIVERSITY,TRIER,UNIVERSITAT TRIER,1,Studies,Turkey,Bachelor,Germany,Turkey
5793,2017-1-FR01-KA103-035455,2017-2018,181,Student mobility for traineeships between Programme Countries,Environmental sciences,Male,Learner,No,No,No,22,Marseille,UNIVERSITE D'AIX MARSEILLE,TROMSO,UNIVERSITETET I TROMSOE,1,Traineeships,France,Master,Norway,France
5794,2017-1-DE01-KA103-003468,2018-2019,3,Staff mobility for teaching between Programme Countries,Mathematics,Female,Staff,No,No,No,22,MAINZ,UNIVERSITAET KOBLENZ-LANDAU,Eisenstadt,STIFTUNG PRIVATE PÄDAGOGISCHE HOCHSCHULE BURGENLAND,1,Teach,Germany,Bachelor,Austria,Germany
5795,2019-1-DE01-KA103-004568,2019-2020,148,Student mobility for studies between Programme Countries,History and archaeology,Male,Learner,No,No,No,31,MARBURG,PHILIPPS UNIVERSITAET MARBURG,PESSAC,UNIVERSITE MICHEL DE MONTAIGNE- BORDEAUX 3,1,Studies,Japan,Master,France,Germany
5796,2014-3-CY02-KA105-000367,2015-2016,7,Mobility of youth workers - Partner Countries,Other,Male,Staff,No,No,No,29,Khirdalan,Azerbaycan Tefekkur Gencler Assosiasiyasi,Nicosia,Neolea gia Antallagi kai Katanoisi,1,Workers,Azerbaijan,Unknown,Cyprus,Azerbaijan
5797,2017-1-AT01-KA103-034613,2017-2018,137,Student mobility for studies between Programme Countries,Fine arts,Male,Learner,No,No,No,24,Linz,UNIVERSITAT FUR KUNSTLERISCHE UND INDUSTRIELLE GESTALTUNG LINZ,HASSELT,Hogeschool PXL,1,Studies,Austria,Master,Belgium,Austria
5798,2018-1-IT02-KA103-047159,2018-2019,134,Student mobility for studies between Programme Countries,"Finance, banking and insurance",Male,Learner,No,No,No,25,Roma,UNIVERSITA DEGLI STUDI DI ROMA LA SAPIENZA,WARSAW,AKADEMIA LEONA KOZMINSKIEGO,1,Studies,Italy,Master,Poland,Italy
5799,2014-2-DE04-KA105-000961,2015-2016,6,Youth Exchanges - Partner Countries,Other,Female,Learner,No,Yes,No,24,Strasbourg,LABEL DRUGSTORE,Hamburg,KiViN-Klub der Witzigen und der Schlagfertigen e.V.,1,Youth Exchange,France,Unknown,Germany,France
5800,2018-1-DE01-KA103-003914,2019-2020,3,Staff mobility for training between Programme Countries,Other,Female,Staff,No,No,No,24,Bonn,RHEINISCHE FRIEDRICH-WILHELMS-UNIVERSITAT BONN,GD Amsterdam,EAIE,1,Training,Germany,Unknown,Finland,Germany
5801,2017-1-DE01-KA103-003363,2019-2020,104,Student mobility for studies between Programme Countries,"Business and administration, not further defined",Female,Learner,No,No,No,23,GOETTINGEN,GESELLSCHAFT FÜR PRAXISBEZOGENE FORSCHUNG UND WISSENSCHAFTLICHE LEHRE GGMBH,TALENCE,Groupe KEDGE Business School,1,Studies,France,Master,France,Germany
5802,2015-1-HU01-KA102-013164,2016-2017,99,VET traineeships in companies abroad,Hair and beauty services,Female,Learner,No,Yes,No,20,Budapest,Artemisszió Alapítvány,Granada,Servicios Integrales de Contratación e Intermediación DOMINUS,1,Traineeships,Hungary,Unknown,Spain,Hungary
5803,2017-1-DE02-KA102-003566,2019-2020,5,Staff training abroad,"Education, not elsewhere classified",Male,Staff,No,No,No,26,Kronach,Staatliches Berufliches Schulzentrum Kronach,LEMESOS,C' TECHNICAL SCHOOL OF LEMESOS,1,Training,Germany,Unknown,Cyprus,Germany
5804,2016-1-SE01-KA102-021875,2018-2019,5,Staff training abroad,Sports,Male,Staff,No,No,No,36,Lysekil,Gullmarsgymnasiet,Huddersfield,Huddersfield New College,1,Training,Sweden,Unknown,United Kingdom,Sweden
5805,2017-1-FR01-KA103-037078,2018-2019,179,Student mobility for traineeships between Programme Countries,Environmental sciences,Female,Learner,No,No,No,23,Paris,SORBONNE UNIVERSITE,?rhus,AARHUS UNIVERSITET,1,Traineeships,France,Master,Denmark,France
5806,2015-1-ES01-KA103-015170,2016-2017,91,Student mobility for traineeships between Programme Countries,Literature and linguistics,Male,Learner,No,No,No,35,LAS PALMAS DE GRAN CANARIA,UNIVERSIDAD DE LAS PALMAS DE GRAN CANARIA,Edinburgh,Cosmopolita Scotland,1,Traineeships,Spain,Master,United Kingdom,Spain
5807,2018-1-HU01-KA103-047073,2019-2020,7,Staff mobility for training between Programme Countries,Other,Male,Staff,No,No,No,35,Budapest,EOTVOS LORAND TUDOMANYEGYETEM,Regensburg,UNIVERSITAET REGENSBURG,1,Training,Hungary,Unknown,Germany,Hungary
5808,2014-2-IT03-KA105-000993,2015-2016,7,Youth Exchanges - Programme Countries,Other,Female,Learner,No,No,No,21,Amatas novads,Amata municipality,Clusone (BG),Comune di Clusone,1,Youth Exchange,Latvia,Unknown,Italy,Latvia
5809,2017-1-UK01-KA102-036436,2018-2019,6,Staff training abroad,Sports,Male,Staff,No,No,No,56,Hillsborough,Invest in Sport Limited,Grenoble,FC Grenoble Rugby,1,Training,United Kingdom,Unknown,France,United Kingdom
5810,2019-1-IT02-KA103-060984,2019-2020,151,Student mobility for studies between Programme Countries,Law,Male,Learner,No,No,No,24,CATANZARO,UNIVERSITA DEGLI STUDI MAGNA GRAECIA DI CATANZARO,LEIOA,UNIVERSIDAD DEL PAIS VASCO/ EUSKAL HERRIKO UNIBERTSITATEA,1,Studies,Italy,Master,Spain,Italy
5811,2017-1-DE01-KA103-003280,2017-2018,179,Student mobility for traineeships between Programme Countries,Political sciences and civics,Female,Learner,No,No,No,24,Dresden,TECHNISCHE UNIVERSITAET DRESDEN,Brüssel,Ständige Vertretung der Bundesrepublik Deutschland bei der Europäischen Union,1,Traineeships,Germany,Master,Belgium,Germany
5812,2017-1-UK01-KA103-035436,2017-2018,287,Student mobility for studies between Programme Countries,"Languages, not further defined",Male,Learner,No,No,No,20,LEEDS,UNIVERSITY OF LEEDS,BARCELONA,UNIVERSITAT DE BARCELONA,1,Studies,United Kingdom,Bachelor,Spain,United Kingdom
5813,2017-3-SI02-KA105-014366,2018-2019,12,Youth Exchanges - Partner Countries,Other,Male,Learner,No,No,No,20,Novi Sad,Teatar34,Ljubljana,KUD Pozitiv,1,Youth Exchange,Serbia,Unknown,Slovenia,Serbia
